word,surface_form,sentence,sentence_domain,ambiguity_score,semantic_similarity_spread,contextual_confidence_gap,domain_diversity,is_ambiguous,ambiguity_type,top_sense_1_domain,top_sense_1_gloss,top_sense_2_domain,top_sense_2_gloss,explanation
time,time,The system shall provide the ability to cosign a note and record the date and time of signature,Healthcare,0.927,0.996,0.8,0.0,True,Intra-Domain,Software/IT,a period of time considered as a resource under your control and sufficient to accomplish something,Software/IT,a suitable moment,"The word ""time"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Software/IT] a period of time considered as a resource under your control and sufficient to accomplish something (context similarity=0.18)
  Candidate sense 2: [Software/IT] a suitable moment (context similarity=0.18)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
allow,allow,The system shall allow authorized users to update the directory,Software/IT,0.926,0.994,0.8,1.0,True,Inter-Domain,Software/IT,allow the other (baseball) team to score,General,allow the presence of or allow (an activity) without opposing or prohibiting,"The word ""allow"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] allow the other (baseball) team to score (context similarity=0.18)
  Candidate sense 2: [General] allow the presence of or allow (an activity) without opposing or prohibiting (context similarity=0.18)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""General"")."
time,time,The user ID and date or time stamp shall be recorded when the allergies reviewed option is selected,Software/IT,0.913,0.973,0.8,0.0,True,Intra-Domain,Software/IT,a reading of a point in time as given by a clock,Software/IT,a period of time considered as a resource under your control and sufficient to accomplish something,"The word ""time"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a reading of a point in time as given by a clock (context similarity=0.15)
  Candidate sense 2: [Software/IT] a period of time considered as a resource under your control and sufficient to accomplish something (context similarity=0.14)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
time,time,The system shall provide the ability to record user ID and date or time stamp for all referral related events,Software/IT,0.913,0.973,0.8,0.0,True,Intra-Domain,Software/IT,a reading of a point in time as given by a clock,Software/IT,a period of time considered as a resource under your control and sufficient to accomplish something,"The word ""time"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a reading of a point in time as given by a clock (context similarity=0.16)
  Candidate sense 2: [Software/IT] a period of time considered as a resource under your control and sufficient to accomplish something (context similarity=0.15)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
range,range,The system shall provide the ability to generate hardcopy and electronic output by date possibly and possibly date range,Software/IT,0.888,0.989,0.7,0.0,True,Intra-Domain,Software/IT,the limits within which something can be effective,Software/IT,a variety of different things or activities,"The word ""range"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] the limits within which something can be effective (context similarity=0.10)
  Candidate sense 2: [Software/IT] a variety of different things or activities (context similarity=0.10)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
stamp,stamp,The user ID and date or time stamp shall be recorded when the allergies reviewed option is selected,Software/IT,0.865,0.954,0.7,1.0,True,Inter-Domain,Software/IT,a type or class,Healthcare,a symbol that is the result of printing or engraving,"The word ""stamp"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a type or class (context similarity=0.11)
  Candidate sense 2: [Healthcare] a symbol that is the result of printing or engraving (context similarity=0.10)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""Healthcare"")."
stamp,stamp,The system shall provide the ability to record user ID and date or time stamp for all referral related events,Software/IT,0.865,0.954,0.7,1.0,True,Inter-Domain,Software/IT,a type or class,Healthcare,a symbol that is the result of printing or engraving,"The word ""stamp"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a type or class (context similarity=0.12)
  Candidate sense 2: [Healthcare] a symbol that is the result of printing or engraving (context similarity=0.11)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""Healthcare"")."
note,note,The system shall provide the ability to cosign a note and record the date and time of signature,Healthcare,0.856,0.941,0.7,1.0,True,Inter-Domain,Healthcare,a promise to pay a specified amount on demand or at a certain time,General,a brief written record,"The word ""note"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Healthcare] a promise to pay a specified amount on demand or at a certain time (context similarity=0.23)
  Candidate sense 2: [General] a brief written record (context similarity=0.21)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""General"")."
sign,signs,The system shall provide the ability to create hardcopy and electronic report summary information (procedures  medications  labs  immunizations  allergies  and vital signs),General,0.852,0.826,0.9,0.5,True,Inter-Domain,Healthcare,a perceptible indication of something not immediately apparent (as a visible clue that something has happened),Software/IT,a public display of a message,"The word ""sign"" appears in a sentence whose detected domain is ""General"".
  Candidate sense 1: [Healthcare] a perceptible indication of something not immediately apparent (as a visible clue that something has happened) (context similarity=0.10)
  Candidate sense 2: [Software/IT] a public display of a message (context similarity=0.07)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""Software/IT"")."
date,date,The system shall provide the ability to generate hardcopy and electronic output by date possibly and possibly date range,Software/IT,0.845,0.977,0.6,0.0,True,Intra-Domain,Software/IT,a participant in a date,Software/IT,a particular but unspecified point in time,"The word ""date"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a participant in a date (context similarity=0.23)
  Candidate sense 2: [Software/IT] a particular but unspecified point in time (context similarity=0.22)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
