word,sentence,gold_label,predicted_label,ambiguity_score,correct
record,The system shall create a single patient record for each patient.,Inter-Domain,Intra-Domain,0.832,False
chart,The physician shall be able to view the patient chart from any workstation.,Inter-Domain,Intra-Domain,0.55,False
note,The system shall provide the ability to cosign a note and record the date and time of signature.,Inter-Domain,Inter-Domain,0.867,True
order,The system shall allow the physician to enter a new medication order for the patient.,Inter-Domain,Inter-Domain,0.978,True
plan,The system shall allow the care team to update the patient's care plan.,Inter-Domain,Inter-Domain,0.641,True
code,The system shall allow the coder to assign a diagnosis code to the encounter.,Inter-Domain,Intra-Domain,0.553,False
provider,The system shall display the name of the provider who signed the note.,Inter-Domain,Inter-Domain,0.619,True
table,The system shall store the reference ranges in a lookup table.,Inter-Domain,Intra-Domain,0.721,False
system,The system shall allow the user to update the patient's demographic information.,Inter-Domain,Inter-Domain,0.57,True
port,The device shall expose a serial port for data export to external systems.,Inter-Domain,Inter-Domain,0.704,True
solution,The vendor shall propose a software solution that meets all functional requirements.,Inter-Domain,Inter-Domain,0.747,True
session,The user shall log in to the system using a valid session key.,Intra-Domain,Intra-Domain,0.615,True
key,Each record shall be uniquely identified using a primary key.,Intra-Domain,Intra-Domain,0.984,True
field,The system shall validate that the required field is not left blank on the form.,Intra-Domain,Intra-Domain,0.982,True
log,The system shall maintain an audit log of all user login attempts.,Intra-Domain,Inter-Domain,0.496,False
service,The system shall expose a web service for retrieving patient records.,Intra-Domain,Intra-Domain,0.949,True
review,The system shall allow the physician to review the patient's allergy list.,Intra-Domain,Intra-Domain,0.666,True
patient,The system shall display the patient's date of birth on the summary screen.,None,None,0.0,True
physician,The physician shall be able to sign the note electronically.,None,None,0.0,True
capability,The system shall provide the capability to print a summary of the visit.,None,Inter-Domain,0.596,False
allergy,The system shall allow the nurse to document a new allergy for the patient.,None,None,0.0,True
screen,The system shall display an error message on the login screen.,None,Intra-Domain,0.813,False
password,The system shall require the user to change the password every ninety days.,None,None,0.0,True
