word,surface_form,sentence,sentence_domain,ambiguity_score,semantic_similarity_spread,contextual_confidence_gap,domain_diversity,is_ambiguous,ambiguity_type,top_sense_1_domain,top_sense_1_gloss,top_sense_2_domain,top_sense_2_gloss,explanation
solution,solution,The solution should provide the ability to inactivate  obsolete  or destroy decision support rules.,Software/IT,0.746,0.986,0.3,0.5,False,None,Software/IT,a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution,,,"The word ""solution"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution (context similarity=0.12)
  Candidate sense 2: [General] the successful action of solving a problem (context similarity=0.12)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""General"")."
provide,provide,The solution should provide the ability to inactivate  obsolete  or destroy decision support rules.,Software/IT,0.824,0.998,0.5,1.0,True,Inter-Domain,General,take measures in preparation for,Software/IT,"give what is desired or needed, especially support, food or sustenance","The word ""provide"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [General] take measures in preparation for (context similarity=0.09)
  Candidate sense 2: [Software/IT] give what is desired or needed, especially support, food or sustenance (context similarity=0.09)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""General"" vs. ""Software/IT"")."
destroy,destroy,The solution should provide the ability to inactivate  obsolete  or destroy decision support rules.,Software/IT,0.604,0.821,0.2,0.0,False,None,Software/IT,destroy completely; damage irreparably,,,"The word ""destroy"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] destroy completely; damage irreparably (context similarity=0.17)
  Candidate sense 2: [Software/IT] do away with, cause the destruction or undoing of (context similarity=0.12)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
decision,decision,The solution should provide the ability to inactivate  obsolete  or destroy decision support rules.,Software/IT,0.739,0.975,0.3,0.5,False,None,Software/IT,the act of making up your mind about something,,,"The word ""decision"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] the act of making up your mind about something (context similarity=0.13)
  Candidate sense 2: [Software/IT] (boxing) a victory won on points when no knockout has occurred (context similarity=0.12)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
support,support,The solution should provide the ability to inactivate  obsolete  or destroy decision support rules.,Software/IT,0.942,0.965,0.9,1.0,True,Inter-Domain,Legal/Regulatory,something providing immaterial assistance to a person or cause or interest,Software/IT,supporting structure that holds up or provides a foundation,"The word ""support"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Legal/Regulatory] something providing immaterial assistance to a person or cause or interest (context similarity=0.16)
  Candidate sense 2: [Software/IT] supporting structure that holds up or provides a foundation (context similarity=0.15)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Legal/Regulatory"" vs. ""Software/IT"")."
rule,rules,The solution should provide the ability to inactivate  obsolete  or destroy decision support rules.,Software/IT,0.35,0.0,1.0,0.0,False,None,Legal/Regulatory,directions that define the way a game or sport is to be conducted,,,"The word ""rule"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Legal/Regulatory] directions that define the way a game or sport is to be conducted (context similarity=0.08)
  Candidate sense 2: [Legal/Regulatory] a principle or condition that customarily governs behavior (context similarity=0.00)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Legal/Regulatory"" domain but represent distinct concepts."
testing,testing,Â§ 170.457   Authorized testing and certification methods.,Legal/Regulatory,0.558,0.805,0.1,0.0,False,None,Software/IT,an examination of the characteristics of something,,,"The word ""testing"" appears in a sentence whose detected domain is ""Legal/Regulatory"".
  Candidate sense 1: [Software/IT] an examination of the characteristics of something (context similarity=0.30)
  Candidate sense 2: [Software/IT] the act of subjecting to experimental test in order to determine how well something works (context similarity=0.20)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
certification,certification,Â§ 170.457   Authorized testing and certification methods.,Legal/Regulatory,0.495,0.654,0.2,0.0,False,None,Legal/Regulatory,validating the authenticity of something or someone,,,"The word ""certification"" appears in a sentence whose detected domain is ""Legal/Regulatory"".
  Candidate sense 1: [Legal/Regulatory] validating the authenticity of something or someone (context similarity=0.26)
  Candidate sense 2: [Legal/Regulatory] confirmation that some fact or statement is true through the use of documentary evidence (context similarity=0.13)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Legal/Regulatory"" domain but represent distinct concepts."
board,Board,The Board may extend the initial 30 day period for a period of time not to exceed 30 days if a party files with the Board a request for an extension within the initial 30 day period and shows good cause.,Software/IT,0.843,0.92,0.7,0.5,True,Inter-Domain,Software/IT,a flat portable surface (usually rectangular) designed for board games,General,a vertical surface on which information can be displayed to public view,"The word ""board"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a flat portable surface (usually rectangular) designed for board games (context similarity=0.21)
  Candidate sense 2: [General] a vertical surface on which information can be displayed to public view (context similarity=0.18)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""General"")."
extend,extend,The Board may extend the initial 30 day period for a period of time not to exceed 30 days if a party files with the Board a request for an extension within the initial 30 day period and shows good cause.,Software/IT,0.974,0.959,1.0,0.5,True,Inter-Domain,Healthcare,continue or extend,Finance/Business,prolong the time allowed for payment of,"The word ""extend"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Healthcare] continue or extend (context similarity=0.17)
  Candidate sense 2: [Finance/Business] prolong the time allowed for payment of (context similarity=0.16)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""Finance/Business"")."
day,day,The Board may extend the initial 30 day period for a period of time not to exceed 30 days if a party files with the Board a request for an extension within the initial 30 day period and shows good cause.,Software/IT,0.822,0.834,0.8,0.0,True,Intra-Domain,Software/IT,some point or period in time,Software/IT,a period of opportunity,"The word ""day"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] some point or period in time (context similarity=0.42)
  Candidate sense 2: [Software/IT] a period of opportunity (context similarity=0.30)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
