word,surface_form,sentence,sentence_domain,ambiguity_score,semantic_similarity_spread,contextual_confidence_gap,domain_diversity,is_ambiguous,ambiguity_type,top_sense_1_domain,top_sense_1_gloss,top_sense_2_domain,top_sense_2_gloss,explanation
case,case,(a) A party wishing to procure the appearance and testimony of any person at the hearing may make a motion requesting the ALJ to issue a subpoena if the appearance and testimony are reasonably necessary for the presentation of a party's case.,Software/IT,0.999,0.998,1.0,0.0,True,Intra-Domain,Software/IT,a person requiring professional services,Software/IT,the quantity contained in a case,"The word ""case"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a person requiring professional services (context similarity=0.08)
  Candidate sense 2: [Software/IT] the quantity contained in a case (context similarity=0.08)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
form,form,In the most basic form  the identification is a username  and authentication is a password.,Software/IT,0.999,0.998,1.0,0.0,True,Intra-Domain,Software/IT,an ability to perform well,Software/IT,an arrangement of the elements in a composition or discourse,"The word ""form"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] an ability to perform well (context similarity=0.13)
  Candidate sense 2: [Software/IT] an arrangement of the elements in a composition or discourse (context similarity=0.13)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
form,Form,Form CMS-R-0235 (06 or 10),Software/IT,0.999,0.998,1.0,0.0,True,Intra-Domain,Software/IT,an ability to perform well,Software/IT,an arrangement of the elements in a composition or discourse,"The word ""form"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] an ability to perform well (context similarity=0.25)
  Candidate sense 2: [Software/IT] an arrangement of the elements in a composition or discourse (context similarity=0.25)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
case,Case,3.2.42 UC42 View Notifications Use Case.,Software/IT,0.998,0.996,1.0,0.5,True,Intra-Domain,Software/IT,the quantity contained in a case,Software/IT,"(printing) the receptacle in which a compositor has his type, which is divided into compartments for the different letters, spaces, or numbers","The word ""case"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] the quantity contained in a case (context similarity=0.24)
  Candidate sense 2: [Software/IT] (printing) the receptacle in which a compositor has his type, which is divided into compartments for the different letters, spaces, or numbers (context similarity=0.24)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
case,Case,3.2.38 UC38 Maintain Drug Interaction Use Case.,Healthcare,0.998,0.996,1.0,0.5,True,Intra-Domain,Software/IT,the quantity contained in a case,Software/IT,"(printing) the receptacle in which a compositor has his type, which is divided into compartments for the different letters, spaces, or numbers","The word ""case"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Software/IT] the quantity contained in a case (context similarity=0.21)
  Candidate sense 2: [Software/IT] (printing) the receptacle in which a compositor has his type, which is divided into compartments for the different letters, spaces, or numbers (context similarity=0.21)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
case,case,(1) CMS (and in the case of Medicaid EPs and eligible hospitals  States) may review an EP  eligible hospital or CAHâs demonstration of meaningful use.,Healthcare,0.998,0.996,1.0,0.5,True,Intra-Domain,Software/IT,the quantity contained in a case,Software/IT,"(printing) the receptacle in which a compositor has his type, which is divided into compartments for the different letters, spaces, or numbers","The word ""case"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Software/IT] the quantity contained in a case (context similarity=0.10)
  Candidate sense 2: [Software/IT] (printing) the receptacle in which a compositor has his type, which is divided into compartments for the different letters, spaces, or numbers (context similarity=0.10)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
hold,hold,The system has the capability to automatically stop possibly and possibly hold order.,Software/IT,0.998,0.998,1.0,0.0,True,Intra-Domain,Software/IT,stop dealing with,Software/IT,keep from departing,"The word ""hold"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] stop dealing with (context similarity=0.24)
  Candidate sense 2: [Software/IT] keep from departing (context similarity=0.24)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
part,parts,The application for ONC-ATCB status consists of two parts.,Software/IT,0.997,0.995,1.0,0.5,True,Intra-Domain,General,something less than the whole of a human artifact,General,a portion of a natural object,"The word ""part"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [General] something less than the whole of a human artifact (context similarity=0.08)
  Candidate sense 2: [General] a portion of a natural object (context similarity=0.07)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""General"" domain but represent distinct concepts."
part,parts,The search for recycled parts shall take no longer than 15 seconds.,Software/IT,0.997,0.995,1.0,0.5,True,Intra-Domain,General,something less than the whole of a human artifact,General,a portion of a natural object,"The word ""part"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [General] something less than the whole of a human artifact (context similarity=0.07)
  Candidate sense 2: [General] a portion of a natural object (context similarity=0.07)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""General"" domain but represent distinct concepts."
order,order,Note that fields labeled in red are required in order for billing to work properly.,Finance/Business,0.996,0.993,1.0,1.0,True,Inter-Domain,Healthcare,a condition of regular or proper arrangement,Software/IT,a degree in a continuum of size or quantity,"The word ""order"" appears in a sentence whose detected domain is ""Finance/Business"".
  Candidate sense 1: [Healthcare] a condition of regular or proper arrangement (context similarity=0.13)
  Candidate sense 2: [Software/IT] a degree in a continuum of size or quantity (context similarity=0.13)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""Software/IT"")."
